Category,SUB Category,Item Name,CAPACITY,Unit,Supplier,List Price,Discount,DP,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
MCB,3P,MCB 3P 4A,4,Nos,Satyam,4057,70,1217.1,,,,
MCB,3P,MCB 3P 6A,6,Nos,Satyam,3080,70,924,,,,
MCB,3P,MCB 3P 10A,10,Nos,Satyam,3080,70,924,,,,
MCB,3P,MCB 3P 16A,16,Nos,Satyam,3080,70,924,,,,
MCB,3P,MCB 3P 20A,20,Nos,Satyam,3080,70,924,,,,
MCB,3P,MCB 3P 25A,25,Nos,Satyam,3080,70,924,,,,
MCB,3P,MCB 3P 32A,32,Nos,Satyam,3080,70,924,,,,
MCB,3P,MCB 3P 40A ,40,Nos,Satyam,4691,70,1407.3,,,,
MCB,3P,MCB 3P 50A ,50,Nos,Satyam,4691,70,1407.3,,,,
MCB,3P,MCB 3P 63A ,63,Nos,Satyam,4846,70,1453.8,,,,
MCB,3P,MCB 3P 100A ,100,Nos,Satyam,15849,70,4754.7,,,,
MCB,4P,MCB 4P 1A ,1,Nos,Satyam,5106,70,1531.8,,,,
MCB,4P,MCB 4P 2A ,2,Nos,Satyam,5106,70,1531.8,,,,
MCB,4P,MCB 4P 4A,4,Nos,Satyam,5106,70,1531.8,,,,
MCB,4P,MCB 4P 6A,6,Nos,Satyam,4150,70,1245,,,,
MCB,4P,MCB 4P 10A,10,Nos,Satyam,4150,70,1245,,,,
MCB,4P,MCB 4P 16A,16,Nos,Satyam,4150,70,1245,,,,
MCB,4P,MCB 4P 20A ,20,Nos,Satyam,4150,70,1245,,,,
MCB,4P,MCB 4P 25A,25,Nos,Satyam,4150,70,1245,,,,
MCB,4P,MCB 4P 32A,32,Nos,Satyam,4150,70,1245,,,,
MCB,4P,MCB 4P 40A,40,Nos,Satyam,6029,70,1808.7,,,,
MCB,4P,MCB 4P 50A,50,Nos,Satyam,6029,70,1808.7,,,,
MCB,4P,MCB 4P 63A,63,Nos,Satyam,6279,70,1883.7,,,,
RELAY,1,RELAY TARA ,,Nos,Satyam,550,35,357.5,,,,
CONTACTOR,M7,CONTACTOR 0901 M7,9,Nos,Satyam,2404,60,961.6,,,,
CONTACTOR,M7,CONTACTOR 1201 M7,12,Nos,Satyam,2750,60,1100,,,,
CONTACTOR,M7,CONTACTOR 1801 M7,18,Nos,Satyam,3170,60,1268,3804,350,1000,
CONTACTOR,M7,CONTACTOR 2501 M7,25,Nos,Satyam,4315,60,1726,,,5154,
CONTACTOR,M7,CONTACTOR 3201 M7,32,Nos,Satyam,9045,60,3618,,,,
CONTACTOR,M7,CONTACTOR 3801 M7,38,Nos,Satyam,10550,60,4220,,,,
CONTACTOR,M7,CONTACTOR 40 AMP M7,40,Nos,Satyam,11405,60,4562,,,,
CONTACTOR,M7,CONTACTOR 50 AMP M7,50,Nos,Satyam,17230,60,6892,,,,
CONTACTOR,M7,CONTACTOR 65 AMP M7,65,Nos,Satyam,23345,60,9338,,,,
CONTACTOR,M7,CONTACTOR 80 AMP M7,80,Nos,Satyam,30365,60,12146,,,,
CONTACTOR,M7,CONTACTOR 95 AMP M7,95,Nos,Satyam,36385,60,14554,,,,
Terminal,RED,CTS 16U RED,16,Nos,Anuroop,42,30,29.4,,,,
Terminal,YELLOW,CTS 16U YELLOW,16,Nos,Anuroop,42,30,29.4,,,,
Terminal,BLUE,CTS 16U BLUE,16,Nos,Anuroop,42,30,29.4,,,,
Terminal,RED,CTS 10U RED,10,Nos,Anuroop,25,30,17.5,,,,
Terminal,YELLOW,CTS 10U YELLOW,10,Nos,Anuroop,25,30,17.5,,,,
Terminal,BLUE,CTS 10U BLUE,10,Nos,Anuroop,25,30,17.5,,,,
Terminal,BLACK,CTS 10U BLACK,10,Nos,Anuroop,25,30,17.5,,,,
Terminal,GREY,CTS 10U GREY,10,Nos,Anuroop,25,30,17.5,,,,
Terminal,GREEN ERTH,CTS 6U GREEN ERTH,6,Nos,Anuroop,93,30,65.1,,,,
Terminal,RED,CTS 6U RED,6,Nos,Anuroop,20,30,14,,,,
Terminal,YELLOW,CTS 6U YELLOW,6,Nos,Anuroop,20,30,14,,,,
Terminal,BLUE,CTS 6U BLUE,6,Nos,Anuroop,20,30,14,,,,
Terminal,BLACK,CTS 6U BLACK,6,Nos,Anuroop,20,30,14,,,,
Terminal,GREY,CTS 6U GREY,6,Nos,Anuroop,20,30,14,,,,
Terminal,RED,CTS 4U RED,4,Nos,Anuroop,11,7,10.23,,,,
Terminal,YELLOW,CTS 4U YELLOW,4,Nos,Anuroop,11,7,10.23,,,,
Terminal,BLUE,CTS 4U BLUE,4,Nos,Anuroop,11,7,10.23,,,,
Terminal,BLACK,CTS 4U BLACK ,4,Nos,Anuroop,11,7,10.23,,,,
Terminal,GREY,CTS 4U GREY,4,Nos,Anuroop,11,7,10.23,,,,
Terminal,GREY,CTS - 2.5U,2.5,Nos,Anuroop,8,7,7.44,,,,
Terminal,GREY,EP - 2.5/4U,4,Nos,Anuroop,8,30,5.6,,,,
Terminal,GREY,EP - 6/10U,10,Nos,Anuroop,9,30,6.3,,,,
Terminal,GREY,END LOCK CA802,,Nos,Anuroop,15,30,10.5,,,,
Din Rail,1,Din Rail 35X7.5,1,Meter,Ajitesh,88.8,30,62.16,,,,
Cable Tray,25X60,CABLE TREY 25X60 BTYPE,1,Meter,Ajitesh,185,40,111,,,,
Cable Tray,25X45,CABLE TREY 25X45 BTYPE,2,Meter,Ajitesh,170,40,102,,,,
Cable Tray,45X60,CABLE TREY 45X60 BTYPE,3,Meter,Ajitesh,312,40,187.2,,,,
Metal Box,1,Metal Box 450*350*210 DLC UPTO 2 PUMP ,1,Nos,Anand Engineering,2500,0,2500,,,,
Metal Box,1,Metal Box 500*400*210 DLC ,2,Nos,Anand Engineering,3000,0,3000,,,,
Metal Box,1,Metal Box Dewatering,3,Nos,Anand Engineering,960,0,960,,,,
Metal Box,1,Metal Box 500*400*250 DLC UPTO 4 PUMP ,4,Nos,Anand Engineering,3900,0,3900,,,,
Metal Box,1,Metal Box 600*400*250 DLC UPTO 4 PUMP ,5,Nos,Anand Engineering,4500,0,4500,,,,
Metal Box,1,Metal Box 600*700*250(1.6MM) ,6,Nos,Anand Engineering,5600,0,5600,,,,
Metal Box,1,Metal Box 500*600*250(1.6MM) ,7,Nos,Anand Engineering,3500,0,3500,,,,
Metal Box,1,Metal Box 700*500*250 (1.2mm),8,Nos,Anand Engineering,4700,0,4700,,,,
Metal Box,1,Metal Box 800*600*250 (1.6mm),9,Nos,Anand Engineering,7500,0,7500,,,,
Metal Box,1,Metal Box 900*700*250 (1.6mm),10,Nos,Anand Engineering,8500,0,8500,,,,
Metal Box,1,Metal Box 900*700*250 (1.6mm) outdoor,11,Nos,Anand Engineering,12000,0,12000,,,,
Metal Box,1,Metal Box 900*700*250 (1.6mm) OUTDOOR CONTROL PANEL ,12,Nos,Anand Engineering,17000,0,17000,,,,
Metal Box,1,Metal Box 900*750*330 (1.6mm),13,Nos,Anand Engineering,9500,0,9500,,,,
Metal Box,1,Metal Box 870 x 600 x 350 (1.6mm),14,Nos,Anand Engineering,9000,0,9000,,,,
Metal Box,1,Metal Box 900*900*350 (1.6mm),15,Nos,Anand Engineering,14000,0,14000,,,,
Metal Box,1,50HP 4PUMP 2VFD METAL BOX,50,Nos,Anand Engineering,40000,0,40000,,,,
Metal Box,1,60HP 3PUMP 3VFD METAL BOX,60,Nos,Anand Engineering,20000,0,20000,,,,
Metal Box,1,SOFT STARTER METAL BOX 40HP ,40,Nos,Anand Engineering,20000,0,20000,,,,
Metal Box,1,SOFT STARTER METAL BOX 50HP ,50,Nos,Anand Engineering,35000,0,35000,,,,
Metal Box,1,METAL BOX FOR 75HP ,75,Nos,Anand Engineering,40000,0,40000,,,,
Metal Box,1,Metal Box 850*650*210 STP  UPTO 15  PUMP ,21,Nos,Anand Engineering,4300,0,4300,,,,
Metal Box,1,Metal Box 900*500*250 UPTO 4 PUMP MULTY VFD ,22,Nos,Anand Engineering,7500,0,7500,,,,
Metal Box,1,Metal Box 950*600*375 UPTO 4 PUMP MULTY VFD ,23,Nos,Anand Engineering,10700,0,10700,,,,
Metal Box,1,Metal Box 850*550*375 UPTO 4 PUMP MULTY VFD ,24,Nos,Anand Engineering,9500,0,9500,,,,
Metal Box,1,Metal Box 650*400*300 ,25,Nos,Anand Engineering,600,0,600,,,,
Metal Box,1,Metal Box 700*600*300 UPTO 4 PUMP MULTY VFD ,26,Nos,Anand Engineering,7500,0,7500,,,,
Metal Box,1,Metal Box 650*950*300(1.6MM) ,27,Nos,Anand Engineering,7600,0,7600,,,,
Metal Box,1,METAL BOX 450*350*250MM,28,Nos,,3500,0,3500,,,,
Metal Box,1,METAL BOX 2100*600*400MM,29,Nos,,30000,0,30000,,,,
Metal Box,1,METAL BOX 900*900*300MM,30,Nos,,20000,0,20000,,,,
Fan,4,"Exaust Fan 4"" 230VAC",4,Nos,Anuroop,370,0,370,,,,
Filter,4,"FAN FILTER 4"" (AIR FILTER )",4,Nos,Anuroop,47,30,32.9,,,,
Tube,1,TUBE LIGHT 1 FEET,1,Nos,Anuroop,130,0,130,,,,
Switch,1,DOOR LIMIT SWITCH  1NO 1NC,1,Nos,Anuroop,268,45,147.4,,,,
Wire,RED,WIRE 30 SQMM RED,30,Meter,Thakur,1275,50,637.5,,,,
Wire,YELLOW,WIRE 30 SQMM YELLOW,30,Meter,Thakur,1275,50,637.5,,,,
Wire,BLUE,WIRE 30 SQMM BLUE,30,Meter,Thakur,1275,50,637.5,,,,
Wire,BLACK,WIRE 30 SQMM BLACK,30,Meter,Thakur,1275,50,637.5,,,,
Wire,RED,WIRE 25 SQMM RED,25,Meter,Thakur,1175,50,587.5,,,,
Wire,YELLOW,WIRE 25 SQMM YELLOW,25,Meter,Thakur,1175,50,587.5,,,,
Wire,BLUE,WIRE 25 SQMM BLUE,25,Meter,Thakur,1175,50,587.5,,,,
Wire,BLACK,WIRE 25 SQMM BLACK,25,Meter,Thakur,1175,50,587.5,,,,
Wire,RED,WIRE 16 SQMM RED,16,Meter,Thakur,975,50,487.5,,,,
Wire,YELLOW,WIRE 16 SQMM YELLOW,16,Meter,Thakur,975,50,487.5,,,,
Wire,BLUE,WIRE 16 SQMM BLUE,16,Meter,Thakur,975,50,487.5,,,,
Wire,BLACK,WIRE 16 SQMM BLACK,16,Meter,Thakur,975,50,487.5,,,,
Wire,RED,WIRE 10 SQMM RED,10,Meter,Thakur,675,50,337.5,,,,
Wire,YELLOW,WIRE  10 SQMM YELLOW,10,Meter,Thakur,675,50,337.5,,,,
Wire,BLUE,WIRE 10 SQMM BLUE,10,Meter,Thakur,675,50,337.5,,,,
Wire,BLACK,WIRE 10 SQMM BLACK,10,Meter,Thakur,675,50,337.5,,,,
Wire,RED,WIRE 6 SQMM RED,6,Meter,Thakur,576,50,288,,,,
Wire,YELLOW,WIRE 6 SQMM YELLOW,6,Meter,Thakur,576,50,288,,,,
Wire,BLUE,WIRE 6 SQMM BLUE,6,Meter,Thakur,576,50,288,,,,
Wire,BLACK,WIRE 6 SQMM BLACK,6,Meter,Thakur,576,50,288,,,,
Wire,RED,WIRE 4 SQMM RED,4,Meter,Thakur,150,50,75,,,,
Wire,YELLOW,WIRE 4 SQMM YELLOW,4,Meter,Thakur,150,50,75,,,,
Wire,BLUE,WIRE 4 SQMM BLUE,4,Meter,Thakur,150,50,75,,,,
Wire,BLACK,WIRE 4 SQMM BLACK,4,Meter,Thakur,150,50,75,,,,
Wire,RED,WIRE 2.5 SQMM RED,2.5,Meter,Thakur,95,50,47.5,,,,
Wire,YELLOW,WIRE  2.5 SQMM YELLOW,2.5,Meter,Thakur,95,50,47.5,,,,
Wire,BLUE,WIRE 2.5 SQMM BLUE,2.5,Meter,Thakur,95,50,47.5,,,,
Wire,BLACK,WIRE 2.5 SQMM BLACK,2.5,Meter,Thakur,95,50,47.5,,,,
Wire,RED,WIRE 0.5 SQMM RED,0.5,Meter,Thakur,25,50,12.5,,,,
Wire,YELLOW,WIRE 0.5 SQMM YELLOW,0.5,Meter,Thakur,25,50,12.5,,,,
Wire,BLUE,WIRE 0.5 SQMM BLUE,0.5,Meter,Thakur,25,50,12.5,,,,
Wire,BLACK,WIRE 0.5 SQMM BLACK,0.5,Meter,Thakur,25,50,12.5,,,,
Wire,GREY,WIRE 0.5 SQMM GREY,0.5,Meter,Thakur,25,50,12.5,,,,
Wire,GREEN,WIRE 0.5 SQMM YELLOW -GREEN,0.5,Meter,Thakur,25,50,12.5,,,,
Wire,SHILLEDE,2 core wire SHILLEDE,0.5,Meter,Thakur,33.3,0,33.3,,,,
Wire,SHILLEDE,4 core wire 0.5 Sqmm poly cab ,0.5,Meter,Thakur,55.4,50,27.7,,,,
Lugs,single,Lugs End Sleeve 0.5 Sqmm,0.5,Nos,Anuroop,1,50,0.5,,,,
Lugs,twin,Lugs End Sleeve 0.5 Sqmm twin ,0.5,Nos,Anuroop,1,50,0.5,,,,
Lugs,single,Lugs End Sleeve 2.5 Sqmm,2.5,Nos,Anuroop,1.5,50,0.75,,,,
Lugs,Twin,Lugs End Sleeve 2.5 Sqmm Twin,2.5,Nos,Anuroop,2.5,50,1.25,,,,
Lugs,single,Lugs End Sleeve 4 Sqmm,4,Nos,Anuroop,3,50,1.5,,,,
Lugs,Twin,Lugs End Sleeve 4 Sqmm Twin,4,Nos,Anuroop,3.5,50,1.75,,,,
Lugs,COPPER,LUGS 6 SQMM PIN COPPER,6,Nos,Anuroop,3,0,3,,,,
Lugs,COPPER,LUGS 6 SQMM RING COPPER,6,Nos,Anuroop,4,0,4,,,,
Lugs,COPPER,LUGS 10 SQMM PIN COPPER,10,Nos,Anuroop,8,0,8,,,,
Lugs,COPPER,LUGS 10 SQMM RING COPPER,10,Nos,Anuroop,8,0,8,,,,
Lugs,COPPER,LUGS 16 SQMM PIN COPPER,16,Nos,Anuroop,8,0,8,,,,
Lugs,COPPER,LUGS 16 SQMM RING COPPER,16,Nos,Anuroop,8.02,30,5.614,,,,
Lugs,COPPER,LUGS 25 SQMM PIN COPPER,25,Nos,Anuroop,12,0,12,,,,
Lugs,COPPER,LUGS 25 SQMM RING COPPER,25,Nos,Anuroop,18,30,12.6,,,,
Lugs,COPPER,LUGS 30 SQMM PIN COPPER,30,Nos,Anuroop,40,0,40,,,,
Lugs,COPPER,LUGS 30 SQMM RING COPPER,30,Nos,Anuroop,60,30,42,,,,
Spiral,1,Spiral Sleeve 9mm,9,Meter,Bharat Trading Co.,7.2,0,7.2,,,,
Spiral,1,Spiral Sleeve 10mm,10,Meter,Bharat Trading Co.,7.2,0,7.2,,,,
Spiral,1,Spiral Sleeve 6mm,6,Meter,Bharat Trading Co.,6,0,6,,,,
Spiral,1,Spiral Sleeve 3mm,3,Meter,Bharat Trading Co.,5,0,5,,,,
Cable Tie,1,Cable Tie 2.5 X 100,1,Nos,Anuroop,4,70,1.2,,,,
Cable Tie,1,Cable Tie 2.5 X 150,2,Nos,Anuroop,5,70,1.5,,,,
Gasket,1,Gasket 25X5,3,Meter,Ajitesh,10,10,9,,,,
Screw,Tap,Screw 8*13 Self Tap,1,Nos,Mayura Traders,1,0,1,,,,
Screw,Tap,Screw 8*19 Self Tap,2,Nos,Mayura Traders,1,0,1,,,,
Screw,plate,Screw 6*12 base plate ,3,Nos,Mayura Traders,1.7,0,1.7,,,,
Screw,plate,Screw M3X6,4,Nos,Mayura Traders,1,0,1,,,,
Screw,plate,SELF TAP SCREW 6X9.5,5,Nos,Mayura Traders,0.5,0,0.5,,,,
Switch,TNI,2 Pole selector switch (TNI) ,2,Nos,Ajitesh,96,30,67.2,,,,
Switch,TNI,3 Pole selector switch (TNI) ,3,Nos,Ajitesh,150,30,105,,,,
Switch,Element,NO Element,1,nos,Ajitesh,87,30,60.9,,,,
Switch,Element,NC Element,2,Nos,Ajitesh,87,30,60.9,,,,
Switch,INDICATOR,RED INDICATOR ,1,Nos,Ajitesh,60,30,42,,,,
Switch,INDICATOR,YELLOW INDICATOR ,2,Nos,Ajitesh,60,30,42,,,,
Switch,INDICATOR,BLUE INDICATOR ,3,Nos,Ajitesh,60,30,42,,,,
Switch,INDICATOR,AMBER INDICATOR ,4,Nos,Ajitesh,60,30,42,,,,
Switch,INDICATOR,GREEN INDICATOR ,5,Nos,Ajitesh,60,30,42,,,,
Label,ALUMINIUM PLATE,ALUMINIUM PLATE 22MM ,1,Nos,Mrugesh Engravers,9,0,9,,,,
Lock,Door,Door Lock (25MM),25,Nos,Anuroop,35,0,35,,,,
 Lock,Door,Door Lock (20MM),20,Nos,Siddhivinayak,30,0,30,,,,
Key,Door,Door Key,1,Nos,Ajitesh,25,0,25,,,,
Sticker,Door,Open Close Sticker,2,Nos,Anuroop,4,0,4,,,,
Sticker,Door,HOLE CLOSER,3,Nos,Anuroop,24,0,24,,,,
Ferrule,PRINT,FERRULE SOFT SLEEVE 3.2 MM,3.2,Nos,Anuroop,70,0,70,,,,
Ferrule,PRINT,FERRULE SOFT SLEEVE 4.2 MM,4.2,Nos,Anuroop,70,0,70,,,,
Ferrule,PRINT,FERRULE SOFT SLEEVE 3.7 MM,3.7,Nos,Anuroop,70,0,70,,,,
Ferrule,PRINT,FERRULE SOFT SLEEVE 5.2 MM,5.2,Nos,Anuroop,70,0,70,,,,
Ferrule,PRINT,FERRULE SOFT SLEEVE 6.5 MM,6.5,Nos,Anuroop,70,0,70,,,,
Ferrule,PRINT,FERRULE SOFT SLEEVE 4.6 MM,4.6,Nos,Anuroop,70,0,70,,,,
Ferrule,PRINT,FERRULE COSTEBLE,,Nos,Anuroop,70,0,70,,,,
Sensor,FLOAT SWITCH,FLOAT SWITCH 3 MTR ICP ,3,Nos,Anuroop,370,32.5,249.75,270,,,
Relay,RELAY BASE,RELAY BASE SALZER 4 POL,4,Nos,Anuroop,50,0,50,,,,
Relay,RELAY BASE,RELAY BASE SALZER 11 POL,11,Nos,Anuroop,50,0,50,,,,
Relay,12,2 changeover 12cdc relay salzer ,2,Nos,Anuroop,125,0,125,,,,
Relay,12,3 pole Salzer relay (BASE PLATE MOUNT),3,Nos,Anuroop,375,37,236.25,,,,
fuse,fuse,FUSE TB ,1,Nos,Anuroop,41.5,37,26.145,,,,
fuse,fuse,GLASS FUSE (2A) ,2,Nos,Anuroop,5,37,3.15,,,,
Add On Block,schneider,ADD ON BOLCK (1 NO 1 NC ) ,11,Nos,Anuroop,160,0,160,,,,
Add On Block,schneider,ADD ON BOLCK  (2NO 2NC),22,Nos,Anuroop,190,0,190,,,,
Sensor,HUMIDITY SENSOR,HUMIDITY SENSOR ,1,Nos,Anuroop,5480,37,3452.4,,,,
PG Gland,PG,PG 7,7,Nos,Anuroop,6.5,70,1.95,,,,
PG Gland,PG,PG 9,9,Nos,Anuroop,7,70,2.1,,,,
PG Gland,PG,PG 11,11,Nos,Anuroop,11.25,70,3.375,,,,
PG Gland,PG,PG 13.5,13.5,Nos,Anuroop,12.5,70,3.75,,,,
PG Gland,PG,PG 16,16,Nos,Anuroop,15,70,4.5,,,,
PG Gland,PG,PG 21,21,Nos,Anuroop,25,70,7.5,,,,
PG Gland,PG,PG 25,25,Nos,Anuroop,27.5,70,8.25,,,,
PG Gland,PG,PG 29,29,Nos,Anuroop,41.25,70,12.375,,,,
PG Gland,PG,PG 36,36,Nos,Anuroop,57.5,70,17.25,,,,
PG Gland,PG,PG 42,42,Nos,Anuroop,82.5,70,24.75,,,,
PG Gland,PG,PG 48,48,Nos,Anuroop,90.5,70,27.15,,,,
PG Gland,PG,PG 63,63,Nos,Anuroop,192,70,57.6,,,,
RCCB,RCCB 4P,RCCB  25A  WITH 30MA  4 Pole ,25,Nos,Anuroop,6465,53,3038.55,,,,
RCCB,RCCB 4P,RCCB  25A  WITH 100MA  4 Pole,25,Nos,Anuroop,6870,53,3228.9,,,,
RCCB,RCCB 4P,RCCB  25A  WITH 300MA  4 Pole,25,Nos,Anuroop,7072,53,3323.84,,,,
RCCB,RCCB 4P,RCCB  40A  WITH 30MA  4 Pole,40,Nos,Anuroop,6364,53,2991.08,,,,
RCCB,RCCB 4P,RCCB  40A  WITH 100MA  4 Pole,40,Nos,Anuroop,6908,53,3246.76,,,,
RCCB,RCCB 4P,RCCB  40A  WITH 300MA  4 Pole,40,Nos,Anuroop,7175,53,3372.25,,,,
RCCB,RCCB 4P,RCCB  63A  WITH 30MA  4 Pole,63,Nos,Anuroop,7369,53,3463.43,,,,
RCCB,RCCB 4P,RCCB  63A  WITH 100MA  4 Pole,63,Nos,Anuroop,8162,53,3836.14,,,,
RCCB,RCCB 4P,RCCB  63A  WITH 300MA  4 Pole,63,Nos,Anuroop,8200,53,3854,,,,
RCCB,RCCB 4P,RCCB  80A  WITH 30MA  4 Pole,80,Nos,Anuroop,12999,53,6109.53,,,,
RCCB,RCCB 4P,RCCB  80A  WITH 100MA   4 Pole,80,Nos,Anuroop,13209,53,6208.23,,,,
RCCB,RCCB 4P,RCCB  80A  WITH 300MA  4 Pole,80,Nos,Anuroop,13279,53,6241.13,,,,
Relay,12VRELAY,12V Change over Relay ,12,Nos,Satyam,260,0,260,,,,
OLR, schneider OLR,OLR 1...1.6 AMP,1.6,Nos,Satyam,3755,60,1502,,,,
OLR, schneider OLR,OLR 1.6...2.5 AMP,2.5,Nos,Satyam,3755,60,1502,,,,
OLR, schneider OLR,OLR 2.5...4  AMP,4,Nos,Satyam,3755,60,1502,,,,
OLR, schneider OLR,OLR 4...6  AMP,6,Nos,Satyam,3755,60,1502,,,,
OLR, schneider OLR,OLR 5.5...8  AMP,8,Nos,Satyam,3755,60,1502,,,,
OLR, schneider OLR,OLR 7...10  AMP,10,Nos,Satyam,3755,60,1502,,,,
OLR, schneider OLR,OLR 9...13  AMP,13,Nos,Satyam,3755,60,1502,,,,
OLR, schneider OLR,OLR 12-18 AMP,18,Nos,Satyam,4165,60,1666,,,,
OLR, schneider OLR,OLR 16-24 AMP,24,Nos,Satyam,4620,60,1848,,,,
OLR, schneider OLR,OLR 23-32 AMP,32,Nos,Satyam,6430,60,2572,,,,
OLR, schneider OLR,OLR 30-38 AMP,38,Nos,Satyam,7245,60,2898,,,,
OLR, schneider OLR,OLR 37...50 AMP,50,Nos,Satyam,8170,60,3268,,,,
OLR, schneider OLR,OLR 48...65 AMP,65,Nos,Satyam,10725,60,4290,,,,
OLR, schneider OLR,OLR 55...70 AMP,70,Nos,Satyam,12705,60,5082,,,,
OLR, schneider OLR,OLR 63...80 AMP,80,Nos,Satyam,13265,60,5306,,,,
OLR, schneider OLR,OLR 80...104 AMP,104,Nos,Satyam,13265,60,5306,,,,
